zone,state,distance_km,risk_level,description
Chennai,Tamil Nadu,843,Moderate,Moderate travel area
Kolkata,West Bengal,1021,High,Remote or high-distance area
Patna,Bihar,538,Moderate,Moderate travel area
Jodhpur,Rajasthan,399,Low,Low-risk region
Mumbai,Maharashtra,95,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,1468,High,Remote or high-distance area
Patna,Bihar,360,Low,Low-risk region
Mumbai,Maharashtra,686,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,226,Low,Low-risk region
Pune,Maharashtra,1485,High,Remote or high-distance area
Ahmedabad,Gujarat,54,Low,Low-risk region
Goa,Goa,924,Moderate,Moderate travel area
Jodhpur,Rajasthan,717,Moderate,Moderate travel area
Jaipur,Rajasthan,637,Moderate,Moderate travel area
Ahmedabad,Gujarat,1111,High,Remote or high-distance area
Goa,Goa,1140,High,Remote or high-distance area
Goa,Goa,917,Moderate,Moderate travel area
New Delhi,Delhi,225,Low,Low-risk region
Bengaluru,Karnataka,1164,High,Remote or high-distance area
Thiruvananthapuram,Kerala,587,Moderate,Moderate travel area
Jaipur,Rajasthan,1208,High,Remote or high-distance area
Thiruvananthapuram,Kerala,325,Low,Low-risk region
Thiruvananthapuram,Kerala,1161,High,Remote or high-distance area
Amritsar,Punjab,234,Low,Low-risk region
Jaipur,Rajasthan,621,Moderate,Moderate travel area
Kolkata,West Bengal,484,Low,Low-risk region
New Delhi,Delhi,90,Low,Low-risk region
Goa,Goa,679,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1381,High,Remote or high-distance area
Chandigarh,Chandigarh,129,Low,Low-risk region
Guwahati,Assam,1417,High,Remote or high-distance area
Ahmedabad,Gujarat,1146,High,Remote or high-distance area
Bhubaneswar,Odisha,1107,High,Remote or high-distance area
Varanasi,Uttar Pradesh,432,Low,Low-risk region
Thiruvananthapuram,Kerala,687,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,414,Low,Low-risk region
Guwahati,Assam,1288,High,Remote or high-distance area
Nagpur,Maharashtra,1069,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,682,Moderate,Moderate travel area
Amritsar,Punjab,845,Moderate,Moderate travel area
Manali,Himachal Pradesh,120,Low,Low-risk region
Hyderabad,Telangana,582,Moderate,Moderate travel area
Bhubaneswar,Odisha,337,Low,Low-risk region
New Delhi,Delhi,696,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,259,Low,Low-risk region
Dehradun,Uttarakhand,1234,High,Remote or high-distance area
Patna,Bihar,1290,High,Remote or high-distance area
Manali,Himachal Pradesh,734,Moderate,Moderate travel area
Manali,Himachal Pradesh,983,Moderate,Moderate travel area
Bhubaneswar,Odisha,105,Low,Low-risk region
Chandigarh,Chandigarh,508,Moderate,Moderate travel area
Bengaluru,Karnataka,894,Moderate,Moderate travel area
Manali,Himachal Pradesh,1394,High,Remote or high-distance area
Patna,Bihar,482,Low,Low-risk region
Jodhpur,Rajasthan,1042,High,Remote or high-distance area
Manali,Himachal Pradesh,1345,High,Remote or high-distance area
Bhubaneswar,Odisha,568,Moderate,Moderate travel area
Guwahati,Assam,466,Low,Low-risk region
Indore,Madhya Pradesh,1376,High,Remote or high-distance area
Jaipur,Rajasthan,326,Low,Low-risk region
Raipur,Chhattisgarh,1102,High,Remote or high-distance area
Jodhpur,Rajasthan,1301,High,Remote or high-distance area
Ahmedabad,Gujarat,970,Moderate,Moderate travel area
Agra,Uttar Pradesh,414,Low,Low-risk region
Surat,Gujarat,1170,High,Remote or high-distance area
Thiruvananthapuram,Kerala,181,Low,Low-risk region
Amritsar,Punjab,1116,High,Remote or high-distance area
Raipur,Chhattisgarh,92,Low,Low-risk region
Manali,Himachal Pradesh,1130,High,Remote or high-distance area
Nagpur,Maharashtra,351,Low,Low-risk region
Jaipur,Rajasthan,214,Low,Low-risk region
Chennai,Tamil Nadu,116,Low,Low-risk region
Amritsar,Punjab,150,Low,Low-risk region
Ahmedabad,Gujarat,1323,High,Remote or high-distance area
Amritsar,Punjab,1221,High,Remote or high-distance area
Ahmedabad,Gujarat,1409,High,Remote or high-distance area
Manali,Himachal Pradesh,74,Low,Low-risk region
Mumbai,Maharashtra,620,Moderate,Moderate travel area
Bengaluru,Karnataka,1241,High,Remote or high-distance area
Ahmedabad,Gujarat,716,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,1284,High,Remote or high-distance area
Ahmedabad,Gujarat,1000,High,Remote or high-distance area
Bhopal,Madhya Pradesh,966,Moderate,Moderate travel area
Jaipur,Rajasthan,984,Moderate,Moderate travel area
Ranchi,Jharkhand,810,Moderate,Moderate travel area
Manali,Himachal Pradesh,422,Low,Low-risk region
Chennai,Tamil Nadu,1122,High,Remote or high-distance area
Patna,Bihar,122,Low,Low-risk region
Mumbai,Maharashtra,1011,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,1033,High,Remote or high-distance area
Guwahati,Assam,625,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1246,High,Remote or high-distance area
Thiruvananthapuram,Kerala,314,Low,Low-risk region
Agra,Uttar Pradesh,672,Moderate,Moderate travel area
Kolkata,West Bengal,173,Low,Low-risk region
Jaipur,Rajasthan,158,Low,Low-risk region
Mumbai,Maharashtra,370,Low,Low-risk region
Goa,Goa,997,Moderate,Moderate travel area
Dehradun,Uttarakhand,1167,High,Remote or high-distance area
Raipur,Chhattisgarh,805,Moderate,Moderate travel area
Jodhpur,Rajasthan,64,Low,Low-risk region
Bhubaneswar,Odisha,663,Moderate,Moderate travel area
Jaipur,Rajasthan,994,Moderate,Moderate travel area
Bhubaneswar,Odisha,989,Moderate,Moderate travel area
Amritsar,Punjab,1203,High,Remote or high-distance area
Thiruvananthapuram,Kerala,852,Moderate,Moderate travel area
Nagpur,Maharashtra,402,Low,Low-risk region
Chandigarh,Chandigarh,461,Low,Low-risk region
Dehradun,Uttarakhand,1182,High,Remote or high-distance area
Lucknow,Uttar Pradesh,630,Moderate,Moderate travel area
Bhubaneswar,Odisha,450,Low,Low-risk region
Patna,Bihar,385,Low,Low-risk region
Manali,Himachal Pradesh,433,Low,Low-risk region
Bhubaneswar,Odisha,1279,High,Remote or high-distance area
Indore,Madhya Pradesh,1416,High,Remote or high-distance area
Jaipur,Rajasthan,555,Moderate,Moderate travel area
Hyderabad,Telangana,1076,High,Remote or high-distance area
Kolkata,West Bengal,298,Low,Low-risk region
Manali,Himachal Pradesh,106,Low,Low-risk region
Manali,Himachal Pradesh,583,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,936,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,788,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,703,Moderate,Moderate travel area
Goa,Goa,1099,High,Remote or high-distance area
Bengaluru,Karnataka,1176,High,Remote or high-distance area
Bhopal,Madhya Pradesh,63,Low,Low-risk region
Thiruvananthapuram,Kerala,973,Moderate,Moderate travel area
Raipur,Chhattisgarh,1068,High,Remote or high-distance area
Bengaluru,Karnataka,961,Moderate,Moderate travel area
Mumbai,Maharashtra,98,Low,Low-risk region
Amritsar,Punjab,892,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,369,Low,Low-risk region
Thiruvananthapuram,Kerala,1394,High,Remote or high-distance area
Chennai,Tamil Nadu,732,Moderate,Moderate travel area
Shimla,Himachal Pradesh,641,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,1483,High,Remote or high-distance area
Chennai,Tamil Nadu,1258,High,Remote or high-distance area
Shimla,Himachal Pradesh,1402,High,Remote or high-distance area
Dehradun,Uttarakhand,114,Low,Low-risk region
Lucknow,Uttar Pradesh,1343,High,Remote or high-distance area
Amritsar,Punjab,80,Low,Low-risk region
Chandigarh,Chandigarh,691,Moderate,Moderate travel area
Kolkata,West Bengal,732,Moderate,Moderate travel area
New Delhi,Delhi,259,Low,Low-risk region
Varanasi,Uttar Pradesh,928,Moderate,Moderate travel area
Guwahati,Assam,1123,High,Remote or high-distance area
New Delhi,Delhi,1479,High,Remote or high-distance area
Indore,Madhya Pradesh,1232,High,Remote or high-distance area
Chandigarh,Chandigarh,1079,High,Remote or high-distance area
Indore,Madhya Pradesh,1252,High,Remote or high-distance area
Ahmedabad,Gujarat,451,Low,Low-risk region
Mumbai,Maharashtra,318,Low,Low-risk region
Patna,Bihar,1360,High,Remote or high-distance area
Indore,Madhya Pradesh,301,Low,Low-risk region
Jaipur,Rajasthan,977,Moderate,Moderate travel area
Bengaluru,Karnataka,1160,High,Remote or high-distance area
Nagpur,Maharashtra,1232,High,Remote or high-distance area
Goa,Goa,859,Moderate,Moderate travel area
New Delhi,Delhi,984,Moderate,Moderate travel area
Amritsar,Punjab,279,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,448,Low,Low-risk region
Shimla,Himachal Pradesh,62,Low,Low-risk region
Chennai,Tamil Nadu,1327,High,Remote or high-distance area
Pune,Maharashtra,1190,High,Remote or high-distance area
Chandigarh,Chandigarh,281,Low,Low-risk region
Bhopal,Madhya Pradesh,1298,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,274,Low,Low-risk region
Ranchi,Jharkhand,1353,High,Remote or high-distance area
Patna,Bihar,606,Moderate,Moderate travel area
Chandigarh,Chandigarh,890,Moderate,Moderate travel area
Manali,Himachal Pradesh,194,Low,Low-risk region
Agra,Uttar Pradesh,218,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,1432,High,Remote or high-distance area
Pune,Maharashtra,199,Low,Low-risk region
Chandigarh,Chandigarh,59,Low,Low-risk region
Nagpur,Maharashtra,1086,High,Remote or high-distance area
Varanasi,Uttar Pradesh,288,Low,Low-risk region
Jodhpur,Rajasthan,201,Low,Low-risk region
Agra,Uttar Pradesh,577,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,688,Moderate,Moderate travel area
Indore,Madhya Pradesh,319,Low,Low-risk region
Ranchi,Jharkhand,129,Low,Low-risk region
Shimla,Himachal Pradesh,502,Moderate,Moderate travel area
Goa,Goa,350,Low,Low-risk region
Thiruvananthapuram,Kerala,68,Low,Low-risk region
Guwahati,Assam,762,Moderate,Moderate travel area
Jaipur,Rajasthan,491,Low,Low-risk region
Goa,Goa,1283,High,Remote or high-distance area
Patna,Bihar,198,Low,Low-risk region
Chennai,Tamil Nadu,961,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,802,Moderate,Moderate travel area
Surat,Gujarat,1243,High,Remote or high-distance area
Agra,Uttar Pradesh,244,Low,Low-risk region
Chennai,Tamil Nadu,698,Moderate,Moderate travel area
Nagpur,Maharashtra,976,Moderate,Moderate travel area
Amritsar,Punjab,763,Moderate,Moderate travel area
Kolkata,West Bengal,1409,High,Remote or high-distance area
New Delhi,Delhi,1429,High,Remote or high-distance area
Pune,Maharashtra,686,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,917,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,243,Low,Low-risk region
Ranchi,Jharkhand,1492,High,Remote or high-distance area
Ahmedabad,Gujarat,589,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,1041,High,Remote or high-distance area
Mumbai,Maharashtra,1058,High,Remote or high-distance area
Nagpur,Maharashtra,1164,High,Remote or high-distance area
Goa,Goa,1280,High,Remote or high-distance area
Varanasi,Uttar Pradesh,89,Low,Low-risk region
Agra,Uttar Pradesh,889,Moderate,Moderate travel area
Bengaluru,Karnataka,1497,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,624,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,604,Moderate,Moderate travel area
Jodhpur,Rajasthan,204,Low,Low-risk region
Chennai,Tamil Nadu,911,Moderate,Moderate travel area
Ahmedabad,Gujarat,200,Low,Low-risk region
Bengaluru,Karnataka,50,Low,Low-risk region
Bhubaneswar,Odisha,1241,High,Remote or high-distance area
Varanasi,Uttar Pradesh,1015,High,Remote or high-distance area
Surat,Gujarat,773,Moderate,Moderate travel area
Dehradun,Uttarakhand,1165,High,Remote or high-distance area
Patna,Bihar,1316,High,Remote or high-distance area
New Delhi,Delhi,1398,High,Remote or high-distance area
New Delhi,Delhi,214,Low,Low-risk region
Ranchi,Jharkhand,1326,High,Remote or high-distance area
Chandigarh,Chandigarh,541,Moderate,Moderate travel area
Indore,Madhya Pradesh,1123,High,Remote or high-distance area
Chennai,Tamil Nadu,1305,High,Remote or high-distance area
Mumbai,Maharashtra,842,Moderate,Moderate travel area
Hyderabad,Telangana,377,Low,Low-risk region
Nagpur,Maharashtra,595,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,1015,High,Remote or high-distance area
Shimla,Himachal Pradesh,965,Moderate,Moderate travel area
Manali,Himachal Pradesh,1391,High,Remote or high-distance area
Goa,Goa,1243,High,Remote or high-distance area
Chennai,Tamil Nadu,1385,High,Remote or high-distance area
Raipur,Chhattisgarh,1095,High,Remote or high-distance area
Raipur,Chhattisgarh,417,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,905,Moderate,Moderate travel area
Mumbai,Maharashtra,1122,High,Remote or high-distance area
Manali,Himachal Pradesh,1394,High,Remote or high-distance area
Shimla,Himachal Pradesh,200,Low,Low-risk region
Nagpur,Maharashtra,1444,High,Remote or high-distance area
Nagpur,Maharashtra,936,Moderate,Moderate travel area
Hyderabad,Telangana,171,Low,Low-risk region
Bengaluru,Karnataka,1257,High,Remote or high-distance area
Hyderabad,Telangana,1477,High,Remote or high-distance area
Amritsar,Punjab,84,Low,Low-risk region
Bhopal,Madhya Pradesh,125,Low,Low-risk region
New Delhi,Delhi,1245,High,Remote or high-distance area
Mumbai,Maharashtra,1488,High,Remote or high-distance area
Chandigarh,Chandigarh,791,Moderate,Moderate travel area
Mumbai,Maharashtra,483,Low,Low-risk region
Manali,Himachal Pradesh,497,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,843,Moderate,Moderate travel area
Raipur,Chhattisgarh,73,Low,Low-risk region
Guwahati,Assam,1121,High,Remote or high-distance area
Chennai,Tamil Nadu,133,Low,Low-risk region
Bengaluru,Karnataka,1229,High,Remote or high-distance area
Goa,Goa,161,Low,Low-risk region
Indore,Madhya Pradesh,1174,High,Remote or high-distance area
Indore,Madhya Pradesh,1368,High,Remote or high-distance area
Bhubaneswar,Odisha,1295,High,Remote or high-distance area
Raipur,Chhattisgarh,1147,High,Remote or high-distance area
Amritsar,Punjab,1487,High,Remote or high-distance area
Hyderabad,Telangana,1243,High,Remote or high-distance area
Pune,Maharashtra,1292,High,Remote or high-distance area
Shimla,Himachal Pradesh,223,Low,Low-risk region
Bhubaneswar,Odisha,162,Low,Low-risk region
Goa,Goa,302,Low,Low-risk region
Patna,Bihar,958,Moderate,Moderate travel area
Bengaluru,Karnataka,57,Low,Low-risk region
Chennai,Tamil Nadu,199,Low,Low-risk region
Manali,Himachal Pradesh,1104,High,Remote or high-distance area
Agra,Uttar Pradesh,110,Low,Low-risk region
Lucknow,Uttar Pradesh,1429,High,Remote or high-distance area
Jodhpur,Rajasthan,1484,High,Remote or high-distance area
Jodhpur,Rajasthan,431,Low,Low-risk region
Nagpur,Maharashtra,673,Moderate,Moderate travel area
Ahmedabad,Gujarat,528,Moderate,Moderate travel area
Bhubaneswar,Odisha,943,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,887,Moderate,Moderate travel area
Surat,Gujarat,791,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,990,Moderate,Moderate travel area
Mumbai,Maharashtra,636,Moderate,Moderate travel area
Goa,Goa,561,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,1368,High,Remote or high-distance area
New Delhi,Delhi,427,Low,Low-risk region
Bengaluru,Karnataka,442,Low,Low-risk region
Thiruvananthapuram,Kerala,1362,High,Remote or high-distance area
Goa,Goa,868,Moderate,Moderate travel area
Jodhpur,Rajasthan,1474,High,Remote or high-distance area
Ahmedabad,Gujarat,1261,High,Remote or high-distance area
Bengaluru,Karnataka,1482,High,Remote or high-distance area
Lucknow,Uttar Pradesh,1446,High,Remote or high-distance area
Agra,Uttar Pradesh,765,Moderate,Moderate travel area
Goa,Goa,805,Moderate,Moderate travel area
Guwahati,Assam,939,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,830,Moderate,Moderate travel area
Indore,Madhya Pradesh,1392,High,Remote or high-distance area
Goa,Goa,1416,High,Remote or high-distance area
Agra,Uttar Pradesh,1293,High,Remote or high-distance area
Guwahati,Assam,1454,High,Remote or high-distance area
Kolkata,West Bengal,1131,High,Remote or high-distance area
Varanasi,Uttar Pradesh,696,Moderate,Moderate travel area
Guwahati,Assam,925,Moderate,Moderate travel area
Indore,Madhya Pradesh,1155,High,Remote or high-distance area
Mumbai,Maharashtra,603,Moderate,Moderate travel area
Kolkata,West Bengal,1485,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1093,High,Remote or high-distance area
Chandigarh,Chandigarh,613,Moderate,Moderate travel area
Hyderabad,Telangana,1480,High,Remote or high-distance area
Lucknow,Uttar Pradesh,869,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,1112,High,Remote or high-distance area
New Delhi,Delhi,788,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1185,High,Remote or high-distance area
Raipur,Chhattisgarh,100,Low,Low-risk region
Bengaluru,Karnataka,653,Moderate,Moderate travel area
Kolkata,West Bengal,158,Low,Low-risk region
Agra,Uttar Pradesh,1072,High,Remote or high-distance area
Kolkata,West Bengal,786,Moderate,Moderate travel area
Surat,Gujarat,746,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1195,High,Remote or high-distance area
Bhubaneswar,Odisha,1209,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,849,Moderate,Moderate travel area
New Delhi,Delhi,353,Low,Low-risk region
Hyderabad,Telangana,669,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,1086,High,Remote or high-distance area
Chennai,Tamil Nadu,1049,High,Remote or high-distance area
Nagpur,Maharashtra,217,Low,Low-risk region
New Delhi,Delhi,689,Moderate,Moderate travel area
Goa,Goa,1087,High,Remote or high-distance area
Goa,Goa,1059,High,Remote or high-distance area
Guwahati,Assam,414,Low,Low-risk region
Indore,Madhya Pradesh,193,Low,Low-risk region
Ranchi,Jharkhand,842,Moderate,Moderate travel area
New Delhi,Delhi,319,Low,Low-risk region
Mumbai,Maharashtra,1363,High,Remote or high-distance area
Chandigarh,Chandigarh,820,Moderate,Moderate travel area
New Delhi,Delhi,1145,High,Remote or high-distance area
Jodhpur,Rajasthan,1363,High,Remote or high-distance area
Surat,Gujarat,1476,High,Remote or high-distance area
Dehradun,Uttarakhand,916,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1396,High,Remote or high-distance area
Ranchi,Jharkhand,938,Moderate,Moderate travel area
Visakhapatnam,Andhra Pradesh,1268,High,Remote or high-distance area
Chennai,Tamil Nadu,91,Low,Low-risk region
Bengaluru,Karnataka,439,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,110,Low,Low-risk region
Patna,Bihar,197,Low,Low-risk region
Jaipur,Rajasthan,1428,High,Remote or high-distance area
Varanasi,Uttar Pradesh,882,Moderate,Moderate travel area
Chennai,Tamil Nadu,1105,High,Remote or high-distance area
Shimla,Himachal Pradesh,946,Moderate,Moderate travel area
Chennai,Tamil Nadu,595,Moderate,Moderate travel area
Chennai,Tamil Nadu,650,Moderate,Moderate travel area
Patna,Bihar,244,Low,Low-risk region
Bhubaneswar,Odisha,514,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,216,Low,Low-risk region
Pune,Maharashtra,1382,High,Remote or high-distance area
Thiruvananthapuram,Kerala,1140,High,Remote or high-distance area
Jaipur,Rajasthan,535,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,528,Moderate,Moderate travel area
Chandigarh,Chandigarh,251,Low,Low-risk region
Hyderabad,Telangana,519,Moderate,Moderate travel area
Ahmedabad,Gujarat,1279,High,Remote or high-distance area
Mumbai,Maharashtra,879,Moderate,Moderate travel area
Hyderabad,Telangana,1443,High,Remote or high-distance area
Ranchi,Jharkhand,1454,High,Remote or high-distance area
Goa,Goa,1382,High,Remote or high-distance area
Agra,Uttar Pradesh,636,Moderate,Moderate travel area
Chennai,Tamil Nadu,665,Moderate,Moderate travel area
Shimla,Himachal Pradesh,799,Moderate,Moderate travel area
Patna,Bihar,1218,High,Remote or high-distance area
Shimla,Himachal Pradesh,471,Low,Low-risk region
Raipur,Chhattisgarh,1154,High,Remote or high-distance area
Agra,Uttar Pradesh,994,Moderate,Moderate travel area
Dehradun,Uttarakhand,503,Moderate,Moderate travel area
Ranchi,Jharkhand,1453,High,Remote or high-distance area
New Delhi,Delhi,486,Low,Low-risk region
Ranchi,Jharkhand,1154,High,Remote or high-distance area
Manali,Himachal Pradesh,678,Moderate,Moderate travel area
Jodhpur,Rajasthan,499,Low,Low-risk region
Pune,Maharashtra,1194,High,Remote or high-distance area
Surat,Gujarat,922,Moderate,Moderate travel area
Kolkata,West Bengal,93,Low,Low-risk region
Chennai,Tamil Nadu,1237,High,Remote or high-distance area
Ranchi,Jharkhand,186,Low,Low-risk region
Surat,Gujarat,112,Low,Low-risk region
Bengaluru,Karnataka,425,Low,Low-risk region
Ahmedabad,Gujarat,345,Low,Low-risk region
Lucknow,Uttar Pradesh,1257,High,Remote or high-distance area
Indore,Madhya Pradesh,916,Moderate,Moderate travel area
Bengaluru,Karnataka,1289,High,Remote or high-distance area
Amritsar,Punjab,832,Moderate,Moderate travel area
Amritsar,Punjab,623,Moderate,Moderate travel area
Ranchi,Jharkhand,1183,High,Remote or high-distance area
Kolkata,West Bengal,1393,High,Remote or high-distance area
Ranchi,Jharkhand,1153,High,Remote or high-distance area
Lucknow,Uttar Pradesh,279,Low,Low-risk region
Bhubaneswar,Odisha,624,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,1028,High,Remote or high-distance area
Manali,Himachal Pradesh,491,Low,Low-risk region
Bhubaneswar,Odisha,212,Low,Low-risk region
Agra,Uttar Pradesh,83,Low,Low-risk region
Pune,Maharashtra,1360,High,Remote or high-distance area
Amritsar,Punjab,472,Low,Low-risk region
Indore,Madhya Pradesh,173,Low,Low-risk region
Thiruvananthapuram,Kerala,1080,High,Remote or high-distance area
Ahmedabad,Gujarat,553,Moderate,Moderate travel area
Nagpur,Maharashtra,1491,High,Remote or high-distance area
Chennai,Tamil Nadu,238,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,470,Low,Low-risk region
Ranchi,Jharkhand,1041,High,Remote or high-distance area
Guwahati,Assam,133,Low,Low-risk region
Lucknow,Uttar Pradesh,438,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,786,Moderate,Moderate travel area
Dehradun,Uttarakhand,726,Moderate,Moderate travel area
Hyderabad,Telangana,502,Moderate,Moderate travel area
Agra,Uttar Pradesh,707,Moderate,Moderate travel area
Amritsar,Punjab,58,Low,Low-risk region
Ahmedabad,Gujarat,628,Moderate,Moderate travel area
Chandigarh,Chandigarh,72,Low,Low-risk region
Nagpur,Maharashtra,929,Moderate,Moderate travel area
Jodhpur,Rajasthan,1378,High,Remote or high-distance area
Hyderabad,Telangana,323,Low,Low-risk region
Manali,Himachal Pradesh,855,Moderate,Moderate travel area
Chennai,Tamil Nadu,1215,High,Remote or high-distance area
Hyderabad,Telangana,1223,High,Remote or high-distance area
Kolkata,West Bengal,1115,High,Remote or high-distance area
Goa,Goa,232,Low,Low-risk region
Surat,Gujarat,1364,High,Remote or high-distance area
Shimla,Himachal Pradesh,790,Moderate,Moderate travel area
Bhubaneswar,Odisha,1155,High,Remote or high-distance area
Nagpur,Maharashtra,934,Moderate,Moderate travel area
Bhubaneswar,Odisha,1218,High,Remote or high-distance area
Dehradun,Uttarakhand,470,Low,Low-risk region
Kolkata,West Bengal,1190,High,Remote or high-distance area
Goa,Goa,332,Low,Low-risk region
Thiruvananthapuram,Kerala,1325,High,Remote or high-distance area
Pune,Maharashtra,1146,High,Remote or high-distance area
Goa,Goa,442,Low,Low-risk region
Goa,Goa,893,Moderate,Moderate travel area
Indore,Madhya Pradesh,1242,High,Remote or high-distance area
Kolkata,West Bengal,1122,High,Remote or high-distance area
Chandigarh,Chandigarh,125,Low,Low-risk region
Hyderabad,Telangana,83,Low,Low-risk region
Jaipur,Rajasthan,1124,High,Remote or high-distance area
Agra,Uttar Pradesh,1317,High,Remote or high-distance area
Lucknow,Uttar Pradesh,891,Moderate,Moderate travel area
Manali,Himachal Pradesh,1307,High,Remote or high-distance area
New Delhi,Delhi,1044,High,Remote or high-distance area
Bhopal,Madhya Pradesh,1039,High,Remote or high-distance area
Bengaluru,Karnataka,641,Moderate,Moderate travel area
Bhopal,Madhya Pradesh,843,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1355,High,Remote or high-distance area
Shimla,Himachal Pradesh,849,Moderate,Moderate travel area
Bengaluru,Karnataka,1285,High,Remote or high-distance area
Agra,Uttar Pradesh,1476,High,Remote or high-distance area
Jodhpur,Rajasthan,1490,High,Remote or high-distance area
Dehradun,Uttarakhand,1358,High,Remote or high-distance area
Amritsar,Punjab,1403,High,Remote or high-distance area
Shimla,Himachal Pradesh,189,Low,Low-risk region
Surat,Gujarat,1123,High,Remote or high-distance area
Chandigarh,Chandigarh,1404,High,Remote or high-distance area
Patna,Bihar,969,Moderate,Moderate travel area
Ahmedabad,Gujarat,1056,High,Remote or high-distance area
Bhubaneswar,Odisha,958,Moderate,Moderate travel area
Jaipur,Rajasthan,1166,High,Remote or high-distance area
Ahmedabad,Gujarat,1387,High,Remote or high-distance area
Dehradun,Uttarakhand,1214,High,Remote or high-distance area
Guwahati,Assam,235,Low,Low-risk region
Amritsar,Punjab,350,Low,Low-risk region
Ahmedabad,Gujarat,507,Moderate,Moderate travel area
Dehradun,Uttarakhand,182,Low,Low-risk region
Jaipur,Rajasthan,232,Low,Low-risk region
Amritsar,Punjab,521,Moderate,Moderate travel area
New Delhi,Delhi,666,Moderate,Moderate travel area
New Delhi,Delhi,920,Moderate,Moderate travel area
Manali,Himachal Pradesh,611,Moderate,Moderate travel area
Shimla,Himachal Pradesh,1399,High,Remote or high-distance area
Bhopal,Madhya Pradesh,1057,High,Remote or high-distance area
Lucknow,Uttar Pradesh,944,Moderate,Moderate travel area
Varanasi,Uttar Pradesh,1459,High,Remote or high-distance area
Dehradun,Uttarakhand,1032,High,Remote or high-distance area
Goa,Goa,864,Moderate,Moderate travel area
New Delhi,Delhi,1381,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,510,Moderate,Moderate travel area
Jodhpur,Rajasthan,1312,High,Remote or high-distance area
Bhopal,Madhya Pradesh,553,Moderate,Moderate travel area
Raipur,Chhattisgarh,1241,High,Remote or high-distance area
Bengaluru,Karnataka,209,Low,Low-risk region
Shimla,Himachal Pradesh,614,Moderate,Moderate travel area
Goa,Goa,1142,High,Remote or high-distance area
Mumbai,Maharashtra,932,Moderate,Moderate travel area
New Delhi,Delhi,90,Low,Low-risk region
Jaipur,Rajasthan,613,Moderate,Moderate travel area
Jodhpur,Rajasthan,874,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,1004,High,Remote or high-distance area
Shimla,Himachal Pradesh,469,Low,Low-risk region
Chandigarh,Chandigarh,1210,High,Remote or high-distance area
Surat,Gujarat,137,Low,Low-risk region
Chandigarh,Chandigarh,1320,High,Remote or high-distance area
Jodhpur,Rajasthan,281,Low,Low-risk region
Jodhpur,Rajasthan,384,Low,Low-risk region
Hyderabad,Telangana,916,Moderate,Moderate travel area
Nagpur,Maharashtra,1165,High,Remote or high-distance area
Lucknow,Uttar Pradesh,290,Low,Low-risk region
Ahmedabad,Gujarat,1470,High,Remote or high-distance area
Hyderabad,Telangana,1391,High,Remote or high-distance area
Goa,Goa,1230,High,Remote or high-distance area
